,StateCode,WardCode,WardName,LGACode,Urban,Source,Timestamp,GlobalID,AMAPCODE,X.x,WardName.x,urbanPercentage,classification_20,classification_30,classification_50,classification_75,X.y,WardName.y,median_rank,ranks,AdminLevel3,Population
146,TA,TRSWKR04,Chonku,35014,No,INEC,3/16/2019,c5150403-a78e-42bc-bd7c-933cf2272557,NIE TRS WKR,26,Chonku,0,Rural,Rural,Rural,Rural,79,Chonku,82.5,79,Chonku,13091
54,TA,TRSBBB01,Dampar 1,35006,No,INEC,3/16/2019,2d342b97-2e35-4783-b463-ccc71801abc3,NIE TRS BBB,27,Dampar 1,2.698957108,Rural,Rural,Rural,Rural,92,Dampar 1,95,92,Dampar I,13648
59,TA,TRSBBB02,Dampar 2,35006,No,INEC,3/16/2019,d4a62c6e-fe9e-4576-ac5b-91247fa63b19,NIE TRS BBB,28,Dampar 2,0,Rural,Rural,Rural,Rural,99,Dampar 2,98,99,Dampar II,10751
58,TA,TRSBBB03,Dampar 3,35006,No,INEC,3/16/2019,40aaae7f-7ce8-4f6d-8635-19b13ba3279d,NIE TRS BBB,29,Dampar 3,0,Rural,Rural,Rural,Rural,87,Dampar 3,91.5,87,Dampar III,13452
151,TA,TRSYRR01,Dankum,35015,No,INEC,3/16/2019,32f7d27f-d8f6-46b3-aa06-18aa207d9b6e,NIE TRS YRR,30,Dankum,0,Rural,Rural,Rural,Rural,78,Dankum,82,78,Dankum,15975
82,TA,TRSKLD03,Darofai,35008,No,INEC,3/16/2019,d7620c7b-e814-4b4d-b3b9-6a27a3e0b0c5,NIE TRS KLD,31,Darofai,0,Rural,Rural,Rural,Rural,44,Darofai,57.5,44,Darofai,28209
90,TA,TRSKRM08,Didan,35009,No,INEC,3/16/2019,5703baa3-4dc7-47ca-ab5e-73ac2d48a823,NIE TRS KRM,32,Didan,0,Rural,Rural,Rural,Rural,34,Didan,48,34,Didan,10844
160,TA,TRSTZG03,Dingding,35016,No,INEC,3/16/2019,842a97b7-4873-4733-8f51-086a67f8e003,NIE TRS TZG,33,Dingding,0,Rural,Rural,Rural,Rural,160,Dingding,153,160,Dingding,19179
99.1,TA,TRSLAU02,Dobeli,35010,No,INEC,3/16/2019,cd7c2e5f-dc74-44f2-a702-f55568562189,NIE TRS LAU,34,Dobeli,0,Rural,Rural,Rural,Rural,159,Dobeli,152.5,159,Dobeli,15870
100,TA,TRSLAU03,Donadda,35010,No,INEC,3/16/2019,6a99f291-2990-444b-919f-b7fd261fec4f,NIE TRS LAU,35,Donadda,0,Rural,Rural,Rural,Rural,135,Donadda,130,135,Danadda,18097
121,TA,TRSTTM03,Dutse,35012,No,INEC,3/16/2019,160f1944-a713-409a-8ddc-bb677577ff52,NIE TRS TTM,36,Dutse,0.323349328,Rural,Rural,Rural,Rural,11,Dutse,21.5,11,Dutse,24395
28,TA,TRSDGA03,Fada,35003,No,INEC,3/16/2019,486f738d-4488-4d59-bfe1-6dbdd4b6153e,NIE TRS DGA,37,Fada,0.555171814,Rural,Rural,Rural,Rural,82,Fada,86,82,Fada,7914
124,TA,TRSTTM04,Fete,35012,No,INEC,3/16/2019,9ed4ce36-f84e-44b6-8d08-c9ade59e4ef3,NIE TRS TTM,38,Fete,0,Rural,Rural,Rural,Rural,57,Fete,67.5,57,Fete,14986
